Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
AMERICAN SAMOA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20192864
NORTHERN MARIANA ISLANDS,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192865
GUAM,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192866
PUERTO RICO,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20192867
U.S. VIRGIN ISLANDS,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192868
NON-US RESIDENTS,2019,28,,-,,NC,,-,,NP,,-,,NC,1,,,NP,,NON-US RESIDENTS,20192869
TOTAL,2019,28,,-,2,,1,,4,,205,,452,,8906,,8643,,,TOTAL,20192870
US RESIDENTS,2019,29,,-,2,,1,,5,,245,,453,,9272,,8947,,,US RESIDENTS,20192901
NEW ENGLAND,2019,29,,-,0,,,-,,-,,-,1,,,-,3,,,NEW ENGLAND,20192902
CONNECTICUT,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20192903
MAINE,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20192904
MASSACHUSETTS,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20192905
NEW HAMPSHIRE,2019,29,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192906
RHODE ISLAND,2019,29,,-,0,,,-,,-,,-,1,,,-,2,,"RHODE ISLAND
(41.572574, -71.534637)",,20192907
VERMONT,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20192908
MIDDLE ATLANTIC,2019,29,,-,1,,,-,2,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192909
NEW JERSEY,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20192910
NEW YORK,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192911
NEW YORK CITY,2019,29,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20192912
PENNSYLVANIA,2019,29,,-,0,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20192913
EAST NORTH CENTRAL,2019,29,,-,1,,1,,1,,,-,4,,26,,59,,,EAST NORTH CENTRAL,20192914
ILLINOIS,2019,29,,-,1,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20192915
INDIANA,2019,29,,-,0,,,-,,-,,-,1,,,-,3,,"INDIANA
(39.919991, -86.2818)",,20192916
MICHIGAN,2019,29,,-,1,,1,,1,,,-,4,,16,,20,,"MICHIGAN
(44.874798, -85.730977)",,20192917
OHIO,2019,29,,-,0,,,-,,-,,-,2,,8,,18,,"OHIO
(40.415534, -82.70936)",,20192918
WISCONSIN,2019,29,,-,0,,,-,,-,,-,2,,2,,18,,"WISCONSIN
(44.639954, -89.732969)",,20192919
WEST NORTH CENTRAL,2019,29,,-,0,,,-,,-,1,,6,,75,,88,,,WEST NORTH CENTRAL,20192920
IOWA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20192921
KANSAS,2019,29,,-,0,,,-,,-,,-,1,,,-,3,,"KANSAS
(38.484729, -98.38018)",,20192922
MINNESOTA,2019,29,,-,0,,,-,,-,1,,5,,54,,59,,"MINNESOTA
(46.349153, -94.198308)",,20192923
MISSOURI,2019,29,,-,0,,,-,,-,,-,2,,12,,21,,"MISSOURI
(38.3675, -92.477244)",,20192924
NEBRASKA,2019,29,,-,0,,,-,,-,,-,1,,4,,4,,"NEBRASKA
(41.527099, -99.810595)",,20192925
NORTH DAKOTA,2019,29,,-,0,,,-,,-,,-,1,,1,,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20192926
SOUTH DAKOTA,2019,29,,-,0,,,-,,-,,-,1,,4,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192927
SOUTH ATLANTIC,2019,29,,-,1,,,-,,-,,-,1,,6,,3,,,SOUTH ATLANTIC,20192928
DELAWARE,2019,29,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192929
DISTRICT OF COLUMBIA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192930
FLORIDA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20192931
GEORGIA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20192932
MARYLAND,2019,29,,-,0,,,-,,-,,-,1,,6,,3,,"MARYLAND
(38.946466, -76.687282)",,20192933
NORTH CAROLINA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20192934
SOUTH CAROLINA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192935
VIRGINIA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20192936
WEST VIRGINIA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20192937
EAST SOUTH CENTRAL,2019,29,,-,0,,,-,,-,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20192938
ALABAMA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20192939
KENTUCKY,2019,29,,-,0,,,-,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20192940
MISSISSIPPI,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20192941
TENNESSEE,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20192942
WEST SOUTH CENTRAL,2019,29,,-,1,,,-,1,,,-,2,,8,,16,,,WEST SOUTH CENTRAL,20192943
ARKANSAS,2019,29,,-,0,,,-,,-,,-,1,,6,,5,,"ARKANSAS
(34.899825, -92.439162)",,20192944
LOUISIANA,2019,29,,-,1,,,-,1,,,-,2,,2,,11,,"LOUISIANA
(30.921314, -91.840238)",,20192945
